Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-04-09 17:34:50.578 +0530,"Aborted",0:00:21,1,0,0,"20190409_173450.578/LogFile.txt","","",0
2019-04-24 12:25:02.631 +0530,"Success",0:00:09,0,0,0,"20190424_122502.631/LogFile.txt","","",1
2019-05-15 11:21:11.085 +0530,"Success",0:00:07,0,0,0,"20190515_112111.085/LogFile.txt","","",1
2019-05-15 17:40:24.530 +0530,"Success",0:00:08,0,0,0,"20190515_174024.530/LogFile.txt","","",1
2019-05-30 14:58:05.807 +0530,"Success",0:00:08,0,0,0,"20190530_145805.807/LogFile.txt","","",1
