Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-04-09 17:37:19.998 +0530,"Success",0:00:02,0,0,0,"20190409_173719.998/LogFile.txt","","",1
2019-05-15 11:05:36.482 +0530,"Aborted",0:00:26,1,0,0,"20190515_110536.482/LogFile.txt","","",0
2019-05-15 15:47:01.878 +0530,"Failure",0:00:00,1,0,1,"20190515_154701.878/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2019-05-15 15:47:26.664 +0530,"Aborted",0:00:49,1,0,1,"20190515_154726.664/LogFile.txt","","",1
2019-05-15 15:49:46.139 +0530,"Success",0:00:23,0,0,0,"20190515_154946.139/LogFile.txt","","",1
2019-05-15 15:51:10.938 +0530,"Success",0:00:00,0,0,0,"20190515_155110.938/LogFile.txt","","",1
2019-05-15 17:25:54.656 +0530,"Success",0:00:00,0,0,0,"20190515_172554.656/LogFile.txt","","",1
2019-05-15 17:28:43.044 +0530,"Success",0:00:00,0,0,0,"20190515_172843.044/LogFile.txt","","",1
2019-05-30 14:54:42.050 +0530,"Success",0:00:02,0,0,0,"20190530_145442.050/LogFile.txt","","",1
