Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-04-09 17:36:14.953 +0530,"Success",0:00:00,0,0,0,"20190409_173614.953/LogFile.txt","","",1
2019-05-15 11:20:38.595 +0530,"Success",0:00:01,0,0,0,"20190515_112038.595/LogFile.txt","","",1
